MedCodeId	Observations	Term
45046017	1033803	Alzheimer's disease
431681000006117	733795	Vascular dementia
359241000006119	528090	Dementia
295668011	355634	[X]Dementia in Alzheimer's disease
26545010	316769	Senile dementia
148381000006115	175992	Senile/presenile dementia
882171000006115	163445	Dementia
295671015	131039	[X]Dementia in Alzheimer's dis, atypical or mixed type
294635013	101681	Uncomplicated senile dementia
376541000006112	96892	Dementia in Alzheimer's disease with late onset
251625013	89790	H/O: dementia
401757012	79896	Senile and presenile organic psychotic conditions
299641000000112	64240	Diffuse Lewy body disease
363021000006113	60594	[X]Alzheimer's dementia unspec
497559016	60128	Arteriosclerotic dementia
295688010	51583	Dementia in Parkinsons disease
359141000006111	45713	[X] Senile dementia NOS
8024201000006111	41981	Mixed dementia
696161000006115	37916	Multi-infarct dementia
425901000006116	27298	[X]Senile dementia,Alzheimer's type
295681016	25573	[X]Vascular dementia, unspecified
499946014	25542	Alzheimer's disease with early onset
48513015	22824	Progressive supranuclear palsy
500317011	22053	Alzheimer's disease with late onset
295672010	19739	[X]Dementia in Alzheimer's disease, unspecified
745381000006119	16859	Lewy body disease
21256010	16749	Presenile dementia
398571000006112	14245	Mixed cortical and subcortical vascular dementia
399031000006111	11971	[X]Multi-infarct dementia
376531000006119	10981	Dementia in Alzheimer's disease with early onset
6024061000006111	10701	Senile dementia of the Lewy body type
753331000006118	10174	Korsakov alcoholic psychosis
295684012	9927	Dementia associated with another disease
3414251000006112	9606	VAD - Vascular dementia
428201000006119	8577	Subcortical vascular dementia
294718018	8233	Dementia in conditions EC
363791000006112	7845	[X]Arteriosclerotic dementia
394681000006119	7477	Korsakoff's psychosis
346929012	7100	Alcoholic dementia
6900181000006114	6881	Primary degenerative dementia of the Alzheimer type, senile onset
294660013	6732	Senile or presenile psychoses NOS
294646011	5608	Senile dementia with depression
345092016	5260	Frontotemporal degeneration
295685013	4874	Dementia due to Pick's disease
294644014	4281	Senile dementia with depressive or paranoid features
882201000006116	4254	Senile dementia - simple type
501294012	4149	Wernicke-Korsakov syndrome
294645010	4092	Senile dementia with paranoia
294648012	3649	Senile dementia with delirium
5005601000006112	3556	Frontotemporal dementia
3802651000006111	3334	Dementia of the Lewy body type
362941000006113	3255	[X]Alcoholic dementia NOS
2502971000006115	3237	Dementia associated with alcoholism
2931251000006113	2963	Alzheimer dementia
295714013	2816	[X]Delirium superimposed on dementia
22408016	2584	Pick's disease
295687017	2429	Dementia due to Huntington chorea
48512013	2373	Progressive supranuclear ophthalmoplegia
294656010	2343	Arteriosclerotic dementia NOS
295680015	2139	[X]Other vascular dementia
401760017	1760	Other alcoholic dementia
7043651000006119	1622	Dementia associated with Parkinson's Disease
431691000006119	1549	Vascular dementia of acute onset
295690011	1451	[X]Dementia in other specified diseases classif elsewhere
8042791000006116	1357	Lewy body dementia with behavioural disturbance
401759010	1219	Other senile and presenile organic psychoses
359161000006110	1215	[X] Senile psychosis NOS
294652012	1202	Uncomplicated arteriosclerotic dementia
294643015	1173	Presenile dementia NOS
6897211000006117	1114	Primary degenerative dementia of the Alzheimer type, presenile onset
294642013	991	Presenile dementia with depression
753321000006116	988	Korsakoff's syndrome - non-alcoholic
359151000006113	886	[X] Senile dementia, depressed or paranoid type
294655014	767	Arteriosclerotic dementia with depression
882191000006119	765	Senile and presenile dementias
397791000006118	671	Alcohol amnestic disorder
149347010	655	Binswanger's disease
7969371000006115	644	Dementia with behavioural disturbance
359081000006118	643	[X] Presenile dementia NOS
476361000006114	639	Alcohol amnestic syndrome
542651000006110	581	Cerebral degeneration due to Jakob - Creutzfeldt disease
423351000006115	538	[X]Presenile dementia,Alzheimer's type
12370651000006112	533	MVAD - Mixed vascular Alzheimer dementia
5618261000006114	516	Dementia of frontal lobe type
294637017	512	Uncomplicated presenile dementia
8031751000006119	508	Dementia due to Parkinson's disease
13909641000006114	490	Agitation due to dementia
294641018	486	Presenile dementia with paranoia
299325013	486	[X]Other Alzheimer's disease
294647019	474	Senile dementia with depressive or paranoid features NOS
359101000006114	438	Cerebral degeneration presenting primarily with dementia
882211000006118	433	Senile dementia-acute confused
294654013	430	Arteriosclerotic dementia with paranoia
2510951000006114	430	Creutzfeldt-Jakob disease
2386018	426	Jakob-Creutzfeldt disease
2366181000000114	423	Sporadic CJD (Creutzfeldt-Jakob disease)
7969281000006110	409	Dementia of the Alzheimer type with behavioural disturbance
423221000006117	389	[X]Predominantly cortical dementia
