MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
253593010	2442	2233	2233.00	O/E - delirious	162703005	253593010		27
294638010	149	E0011	E001100	Presenile dementia with delirium	191452002	294638010		32
294648012	3649	E003	E003.00	Senile dementia with delirium	191461002	294648012		32
294700016	5270	E0301	E030100	Acute confusional state, of infective origin	191502008	294700016		32
294701017	58	E0302	E030200	Acute confusional state, of endocrine origin	191503003	294701017		32
294702012	310	E0303	E030300	Acute confusional state, of metabolic origin	191504009	294702012		32
294703019	977	E0304	E030400	Acute confusional state, of cerebrovascular origin	191505005	294703019		32
294704013	12014	E030z	E030z00	Acute confusional state NOS	2776000	483651010		32
294706010	8432	E031	E031.00	Subacute confusional state	191507002	294706010		32
294708011	191	E0311	E031100	Subacute confusional state, of infective origin	191509004	294708011		32
294709015	9	E0312	E031200	Subacute confusional state, of endocrine origin	191510009	294709015		32
294710013	37	E0313	E031300	Subacute confusional state, of metabolic origin	191511008	294710013		32
294711012	721	E0314	E031400	Subacute confusional state, of cerebrovascular origin	191512001	294711012		32
294712017	1228	E031z	E031z00	Subacute confusional state NOS	191507002	294706010		32
294920014	4544	E132	E132.00	Reactive confusion	191678001	294920014		32
295713019	367	Eu040	Eu04000	[X]Delirium not superimposed on dementia, so described	2776000	5694012		32
295714013	2816	Eu041	Eu04100	[X]Delirium superimposed on dementia	2776000	5694012		32
295718011	162908	Eu04z	Eu04z00	Delirium	2776000	5694012		32
317081012	636	R0090	R009000	[D]Toxic confusional state	231439009	346898013		32
346898013	5016	E030-2	E030.12	Toxic confusional state	231439009	346898013		32
401831017	8413	Eu04y	Eu04y00	[X]Other delirium	2776000	5694012		32
483651010	147513	E030	E030.00	Acute confusional state	2776000	483651010		32
362201000006116	128	Eu04-1	Eu04.11	[X]Acute / subacute brain syndrome	2776000	483659012		32
362221000006114	331	Eu04-3	Eu04.13	[X]Acute / subacute infective psychosis	191502008	294700016		32
362231000006112	48	Eu04-4	Eu04.14	Acute organic reaction	2776000	483655018		32
376431000006118	1033	Eu04y-1	Eu04y11	[X]Delirium of mixed origin	2776000	5694012		32
612521000006115	3547	E030-1	E030.11	Delirium - acute organic	2776000	5694012		32
612531000006117	307	E031-1	E031.11	Delirium - subacute organic	191507002	294705014		32
882211000006118	433	E003-99	E003.99	Senile dementia-acute confused	191461002	882211000006118		32
882231000006112	7283	E030z-99	E030z99	Confusional state	621191000000103	882231000006112		32
2543131000006118	36	^ESCTOR254313		Organic brain syndrome	2776000	483649011		32
2543161000006110	6	^ESCTAC254316		Acute psycho-organic syndrome	2776000	483653013		32
2543191000006119	5	^ESCTAC254319		Acute brain syndrome	2776000	483659012		32
2575731000006115	28	^ESCTPR257573		Primary degenerative dementia of the Alzheimer type, senile onset, with delirium	4817008	9023015		32
2575741000006113	1	^ESCTDE257574		Dementia of the Alzheimer's type, with late onset, with delirium	4817008	9024014		32
2664601000006115	7	^ESCTMU266460		Multi-infarct dementia with delirium	10349009	18020012		32
2664611000006117	4	^ESCTVA266461		Vascular dementia, with delirium	10349009	18021011		32
3558401000006117	1	^ESCTPR355840		Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium	65096006	108178014		32
3894981000006119	1	^ESCTAC389498		Acute non-psychotic brain syndrome	85821003	142268014		31
4452361000006119	13579	^ESCTAC445236		Acute confusion	130987000	210627013		27
4763081000006118	6	^ESCTSE476308		Senile delirium	191461002	1222240013		32
4763441000006118	1374	^ESCTSU476344		Subacute delirium	191507002	294705014		32
5023421000006112	30	^ESCTDE502342		Delirium of mixed origin	231440006	346899017		31
5655851000006112	227	^ESCTIN565585		Intermittent confusion	281793005	419884014		31
5721151000006111	948	^ESCTCO572115		Confusional state	286933003	426422019		31
6939371000006112	16	^ESCTDE693937		Delirious	419567006	2576607015		31
7874761000006112	115	^ESCTDE787476		Delirium co-occurrent with dementia	725898002	3446228016		32
7874771000006117	79	^ESCTDE787477		Delirium superimposed on dementia	725898002	3446229012		32
8044981000006111	70	^ESCTAL804498		Alzheimer's disease co-occurrent with delirium	142011000119109	3311926019		32
362211000006118	6126	Eu04-2	Eu04.12	[X]Acute / subacute confusional state, nonalcoholic	111479008	178719012		32
362241000006119	353	Eu04-5	Eu04.15	[X]Acute / subacute psycho-organic reaction	111479008	178719012		32
376461000006110	725	Eu04	Eu04.00	[X]Delirium, not induced by alcohol+other psychoactive subs	111479008	178719012		32
294653019	100	E0041	E004100	Arteriosclerotic dementia with delirium	191464005	294653019		32
4941321000006118	86	^ESCTON494132		Onset of confusion	225440008	338786015		31
7222531000006110	170	^ESCTLE722253		Level of confusion of sudden onset	439408007	2791080011		27

