medcodeid	term_medcode
106291000006118	Thomas intravascular shunt for dialysis
7118431000006118	Infection of arteriovenous graft for haemodialysis
7118451000006113	Infection of dialysis graft
7118441000006111	Infection of arteriovenous graft for hemodialysis
2240321000000114	Infection of dialysis arteriovenous graft
7367731000006118	Infection of HD arteriovenous fistula
1870801000006111	Infection of haemodialysis arteriovenous fistula
7367691000006114	Infection of haemodialysis arteriovenous fistula
7367721000006116	Infection of HD AV fistula
11930831000006111	Infection of hemodialysis arteriovenous fistula
7367741000006111	Infection of arteriovenous fistula for haemodialysis
7367701000006114	Infection of arteriovenous fistula for hemodialysis
2645965011	Stenosis of arteriovenous dialysis fistula
272134015	Insertion of arteriovenous prosthesis
272139013	Attention to arteriovenous shunt
272140010	Removal of infected arteriovenous shunt
272141014	Other specified arteriovenous shunt
3246231000006118	Formation of arteriovenous shunt
3246241000006111	Arteriovenous shunt
3246281000006117	Construction of arteriovenous shunt
3246261000006110	Creation of arteriovenous shunt
272142019	Arteriovenous shunt NOS
3246251000006113	Arteriovenostomy
3246271000006115	AV - Creation of arteriovenous shunt
3246221000006116	Surgical construction of arteriovenous shunt
272153013	Ligation of acquired arteriovenous fistula
743721000006115	Ligation of acquired arteriovenous fistula
5051131000006117	Creation of Brescia-Cimino fistula
600481000006118	Creation of radialcephalic fistula
5051121000006115	Creation of Cimino fistula
5051151000006112	Creation brachiocephalic fistula
349825015	Creation of brachial-cephalic fistula
5051281000006112	Balloon dilatation of arteriovenous fistula
5051271000006114	Angioplasty of arteriovenous fistula
5051291000006110	Balloon angioplasty of arteriovenous fistula
5051301000006111	Thrombolysis of arteriovenous fistula
5051311000006114	Thrombolysis of arteriovenous graft
5051341000006113	Embolectomy of arteriovenous fistula
5051351000006110	Embolectomy of arteriovenous graft
5051361000006112	Procedure on intraluminal device of arteriovenous fistula
5051371000006117	Insertion of intraluminal device into arteriovenous fistula
5051391000006116	Stenting of arteriovenous fistula
5051381000006119	Insertion of stent into arteriovenous fistula
5051401000006119	Removal of intraluminal device from arteriovenous fistula
5051411000006116	Removal of stent from arteriovenous fistula
5051421000006112	Adjustment of intraluminal device of arteriovenous fistula
5051431000006110	Adjustment of arteriovenous fistula stent
349856011	Banding of arteriovenous fistula
5051491000006114	Exploration of arteriovenous fistula
5051501000006118	Exploration of arteriovenous graft
5094161000006119	End stage renal failure on dialysis
3935781000006116	Hypercalcaemia associated with chronic dialysis
5095641000006112	Long-term disorder of dialysis
3025091000006112	beta-2-Microglobulin amyloidosis
3025081000006114	Hemodialysis-associated amyloidosis
485267014	Beta-2 microglobulin amyloidosis
3025101000006118	AH type amyloidosis
3025111000006115	Dialysis-associated amyloidosis
3025071000006111	Haemodialysis-associated amyloidosis
354567013	Beta-2 microglobulin arthropathy
2948311000006114	Creation of surgical arteriovenous fistula
2948291000006110	Arteriovenous fistulization
2948321000006118	Construction of arteriovenous fistula
2948331000006115	AV - Creation of arteriovenous fistula
2948281000006112	Arteriovenous fistulisation
394350012	Creation of arteriovenous fistula
394352016	Repair of acquired arteriovenous fistula
5592301000006111	Percutaneous angioplasty of arteriovenous fistula
1839031000006115	Percutaneous balloon angioplasty of arteriovenous fistula
413257013	Percutaneous balloon angioplasty of arteriovenous fistula
5593321000006110	Percutaneous embolectomy of arteriovenous fistula
5593481000006117	Percutaneous thrombolysis of arteriovenous fistula
5616371000006112	AV - Procedure related to surgical arteriovenous connection
384823013	Procedure related to surgical arteriovenous connection
3847121000006117	Take-down of arteriovenous shunt
3847131000006119	Removal of arteriovenous shunt
3847111000006113	Removal of arteriovenous shunt device
7081801000006114	Removal of thrombus of arteriovenous fistula
360031000000113	Thrombectomy of arteriovenous fistula
2675886019	Creation of graft fistula for dialysis
637771000000113	Ligation of arteriovenous dialysis fistula
638111000000115	Ligation of arteriovenous dialysis graft
2195121000000113	Ruptured aneurysm of dialysis vascular access
1847091000006110	Aneurysm of superficialised artery of dialysis arteriovenous fistula
