medcodeid	term_medcode
3657891000006116	PD - Peritoneal dialysis
375841000000114	Peritoneal dialysis NEC
118218017	Peritoneal dialysis
228131000006117	Placement ambulatory dialysis apparatus - compens renal fail
773041000006111	Insertion of chronic ambulatory peritoneal dialysis catheter
228101000006113	Placement ambulatory apparatus compensation renal failure
4694051000006116	Removal of chronic ambulatory peritoneal dialysis catheter
181021000006119	Removal of ambulatory peritoneal dialysis catheter
278844014	Insertion of temporary peritoneal dialysis catheter
2692168016	Automated peritoneal dialysis
357219012	Continuous ambulatory peritoneal dialysis
5120171000006118	CAPD - Continuous ambulatory peritoneal dialysis
5120141000006114	Flushing of chronic ambulatory peritoneal dialysis catheter
1705621000000113	Flushing of peritoneal dialysis catheter
5592051000006113	Peritonitis secondary to peritoneal dialysis
453312018	Peritoneal dialysis-associated peritonitis
7518811000006118	CAPD (Continuous ambulatory peritoneal dialysis) associated peritonitis
1743241000006119	Continuous ambulatory peritoneal dialysis associated peritonitis
1848741000006116	Complication of peritoneal dialysis
5524381000006119	Chronic ambulatory peritoneal dialysis catheter procedure
4937941000006118	PD - Chronic peritoneal dialysis
4937931000006111	Chronic peritoneal dialysis
4937951000006116	Stab peritoneal dialysis
4937961000006119	PD - Stab peritoneal dialysis
354591016	Bloodstained peritoneal dialysis effluent
5095881000006119	Peritoneal dialysis catheter exit site infection
5095891000006116	Peritoneal dialysis cannula exit site infection
5095911000006119	Peritoneal dialysis cannula tunnel infection
5095901000006117	Peritoneal dialysis catheter tunnel infection
5095951000006118	Disorder of peritoneal dialysis cannula
5095941000006115	Disorder of peritoneal dialysis catheter
5095971000006111	Blockage of peritoneal dialysis catheter
5095961000006116	Obstruction of peritoneal dialysis catheter
5095981000006114	Migration of peritoneal dialysis catheter
5095991000006112	Omental wrapping around peritoneal dialysis catheter
5096001000006113	Poor drainage of peritoneal dialysis catheter
5096011000006111	Extrusion of peritoneal dialysis catheter cuff
5096021000006115	Misplacement of acute peritoneal dialysis catheter
5120111000006110	Renewal of chronic ambulatory peritoneal dialysis catheter
5120121000006119	Adjustment of chronic ambulatory peritoneal dialysis catheter
5120131000006116	Aspiration of chronic ambulatory peritoneal dialysis catheter
5120191000006117	CCPD - Continuous cycling peritoneal dialysis
5120181000006115	Continuous cycling peritoneal dialysis
5120211000006116	Intermittent peritoneal dialysis
