MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
1284016	37255	H121	H121.00	Chronic pharyngitis	140004	1284016		32
1467013	542	H0431	H043100	Acute epiglottitis with obstruction	222008	1467013		32
4591015	25	A39y0	A39y000	Pulmonary nocardiosis	2087000	4591015		32
5303018	40	A0222	A022200	Salmonella pneumonia	2523007	5303018		32
5407016	293	H5109	H510900	Pneumococcal pleurisy	2585002	5407016		32
6320012	13	H510A	H510A00	Staphylococcal pleurisy	3144005	6320012		32
6421012	574	AB630	AB63000	Invasive pulmonary aspergillosis	3214003	6421012		32
6770012	25	A320	A320.00	Faucial diphtheria	3419005	6770012		32
6880017	224	AB24	AB24.00	Candidiasis of lung	3487004	6880017		32
9421011	1175	H01y0	H01y000	Acute pansinusitis	5028002	9421011		32
9799018	19534	A330	A330.00	Bordetella infection	26484003	483240018		32
10187013	869480	H061	H061.00	Acute bronchiolitis	5505005	10187013		32
11203012	439067	H27	H27..00	Influenza	6142004	11203012		32
11759018	1085	F5121	F512100	Mucosanguinous chronic otitis media	6485001	11759018		32
12028011	777464	H040	H040.00	Acute laryngitis	6655004	12028011		32
12652015	18	H5302	H530200	Gangrenous pneumonia	7063008	12652015		32
12711015	7	H5112	H511200	Streptococcal pleurisy with effusion	7097001	12711015		32
13306011	2659	H31y0	H31y000	Chronic tracheitis	7457009	13306011		32
13455018	22	H571	H571.00	Rheumatic pneumonia	7548000	13455018		32
13727016	507	F551	F551.00	Adhesive middle ear disease	7699004	13727016		32
14738014	37	F5105	F510500	Acute allergic mucoid otitis media	8326008	14738014		32
15053015	259	H0411	H041100	Acute tracheitis with obstruction	8519009	15053015		32
15107012	1	A951	A951.00	Syphilis of lung	8555001	15107012		32
18178017	2413	AB635	AB63500	Aspergilloma	10446001	18178017		32
18268014	3268240	H060	H060.00	Acute bronchitis	10509002	18268014		32
18451012	19	A33y0	A33y000	Bordetella bronchiseptica	27836007	46586010		32
22934019	4003	A552	A552.00	Postmeasles otitis media	13420004	22934019		32
24683016	298	A1201	A120100	Tuberculous empyema	14527007	24683016		32
25522012	72575	H15-1	H15..11	Quinsy	15033003	25522012		32
25801011	14990	H0612	H061200	Acute bronchiolitis with bronchospasm	15199004	25801011		32
26577013	20	A322	A322.00	Anterior nasal diphtheria	15682004	26577013		32
26785019	4019413	H01	H01..00	Acute sinusitis	15805002	26785019		32
28246017	7740	AB2y1	AB2y100	Candidal otitis externa	16681000	28246017		32
28247014	1127	AB2y1-1	AB2y111	Otomycosis in moniliasis	16681000	28247014		32
29982014	9618051	H03	H03..00	Acute tonsillitis	17741008	29982014		32
30177017	23	F5106	F510600	Acute allergic sanguinous otitis media	17866004	30177017		32
30574019	1240	H1y23	H1y2300	Retropharyngeal abscess	18099001	30574019		32
35229011	140	AB650	AB65000	Pulmonary cryptococcosis	20953001	35229011		32
36656012	190	A391	A391.00	Pulmonary actinomycosis	21846001	36656012		32
38677017	1896	A115	A115.00	Tuberculous bronchiectasis	23022004	38677017		32
39802016	4	H5111	H511100	Staphylococcal pleurisy with effusion	23698009	39802016		32
40681016	156	A1202	A120200	Tuberculous hydrothorax	24235005	40681016		32
40785018	173	H5110	H511000	Pneumococcal pleurisy with effusion	24302002	40785018		32
40845016	22	H1y51	H1y5100	Cellulitis of vocal cords	24347001	40845016		32
43285015	7	A12y2	A12y200	Tuberculosis of nasal septum	25831001	43285015		32
43868014	438	A331	A331.00	Bordetella parapertussis	27836007	46586010		32
44623012	451506	H041	H041.00	Acute tracheitis	26650005	44623012		32
44865016	372	H111	H111.00	Polypoid sinus degeneration	26808007	44865016		32
46467017	32	H51y0	H51y000	Encysted pleurisy	27757009	46467017		32
46589015	133556	A33	A33..00	Whooping cough	27836007	46589015		32
47025013	347	H5001	H500100	Empyema with bronchopleural fistula	28085001	47025013		32
