MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
12972011	140	K1703	K170300	Periurethral cellulitis	7253006	12972011		32
25168017	4775	K2723	K272300	Cellulitis of penis	14812002	25168017		32
32771017	2116	M08A	M08A.00	Cellulitis of axilla	19457002	32771017		32
40768015	11586	M086	M086.00	Cellulitis of ankle	24288004	40768015		32
40845016	22	H1y51	H1y5100	Cellulitis of vocal cords	24347001	40845016		32
48067018	25	H1y71	H1y7100	Cellulitis of larynx	28709001	48067018		32
58130016	5182	K2843	K284300	Cellulitis of scrotum	34830002	58130016		32
62096018	1269	M089	M089.00	Cellulitis of neck	37223007	62096018		32
74483012	71258	A35	A35..00	Erysipelas	44653001	74483012		32
78133018	1468	M083	M083.00	Cellulitis of trunk	46876003	78133018		32
80425016	3091562	M05	M05..00	Impetigo	48277006	80425016		32
85030014	3705	J0851	J085100	Cellulitis of lip	51030006	85030014		32
89101013	10142	M240S	M240S00	Folliculitis decalvans	53593008	89101013		32
89199015	27133	M2443	M244300	Pustular folliculitis	53651004	89199015		32
106922015	35	F4F33	F4F3300	Phlegmonous dacryocystitis	64324003	106922015		32
117333013	13131	M08C	M08C.00	Cellulitis of toe	70637004	117333013		32
128346019	206	M2440	M244000	Folliculitis abscedens et suffodiens	77333008	128346019		32
142214016	2741	M07y1	M07y100	Ecthyma	762694009	3635484018		32
158680013	10988	M038	M038.00	Cellulitis of external ear	232214001	347928014		32
178652010	15	K2802	K280200	Cellulitis of seminal vesicle	111414008	178652010		32
206541013	252643	M08B	M08B.00	Cellulitis of foot	128276007	206541013		32
292538019	10	C10E5-1	C10E511	Type I diabetes mellitus with ulcer	190368000	292538019		32
292540012	272	C10E5	C10E500	Type 1 diabetes mellitus with ulcer	190368000	292540012		32
292579018	1207	C10F4	C10F400	Type 2 diabetes mellitus with ulcer	190389009	292579018		32
292581016	32	C10F4-1	C10F411	Type II diabetes mellitus with ulcer	190389009	292581016		32
298680016	81451	F4G01	F4G0100	Orbital cellulitis	194005002	298680016		32
298954015	313	F5014	F501400	Infective otitis externa due to erysipelas	194202008	298954015		32
298955019	437	F5014-1	F501411	Erysipelas - otitis externa	194202008	298955019		32
298959013	1389	F5017	F501700	Infective otitis externa due to impetigo	194203003	298959013		32
298960015	2917	F5017-1	F501711	Impetigo - otitis externa	194203003	298960015		32
302270018	1049	J0830	J083000	Cellulitis of floor of mouth	196538002	302270018		32
302273016	232	J0831	J083100	Oral soft tissue cellulitis unspecified	8771003	15467019		32
302275011	1635	J0833	J083300	Ludwig's angina	196542004	302275011		32
304679014	26	K404	K404.00	Chronic parametritis and pelvic cellulitis	198159006	304679014		32
304680012	91	K4040	K404000	Chronic female pelvic cellulitis	198160001	304680012		32
