MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
21171016	2975	Q40y1	Q40y100	Neonatal urinary tract infection	12301009	21171016		32
39884018	2687	K1006	K100600	Calculous pyelonephritis	23754003	39884018		32
41678019	225	A9811	A981100	Acute gonococcal cystitis	24868007	41678019		32
49984015	4480	A9801	A980100	Acute gonococcal urethritis	29864006	49984015		32
53904019	300	A161	A161.00	Tuberculosis of bladder	32268008	53904019		32
61206018	407171	K101	K101.00	Acute pyelonephritis	36689008	61206018		32
61219019	61	K15y2	K15y200	Abscess of bladder	373611003	1212077012		32
61952018	38	A1601	A160100	Tuberculous pyelitis	37133005	61952018		32
73938014	1142	A160	A160.00	Tuberculosis of kidney	44323002	73938014		32
73939018	1013	A160-1	A160.11	Renal tuberculosis	44323002	73939018		32
74070015	189	A9821	A982100	Chronic gonococcal urethritis	44412000	74070015		32
80428019	4	A32y3	A32y300	Diphtheritic cystitis	48278001	80428019		32
98877016	2	A954	A954.00	Syphilis of kidney	59530001	98877016		32
105227013	21920	K100	K100.00	Chronic pyelonephritis	63302006	105227013		32
108231015	75	A1602	A160200	Tuberculous pyelonephritis	44323002	3320164011		32
113884018	431656	K1905	K190500	Urinary tract infection	68566005	113884018		32
134962018	27	A162	A162.00	Tuberculosis of ureter	81359005	134962018		32
140294012	76336	A994	A994.00	Nonspecific urethritis	84619001	140294012		32
147258010	44	A9831	A983100	Chronic gonococcal cystitis	88813005	147258010		32
251764016	4525	14D2	14D2.00	H/O: kidney infection	161547004	251764016		32
286285014	96	A1600	A160000	Tuberculous nephropathy	44323002	3320160019		32
286286010	130	A160z	A160z00	Tuberculosis of kidney NOS	44323002	73938014		32
286288011	56	A163	A163.00	Tuberculosis of urinary organs	111830007	179010012		32
304057015	4	K0y0	K0y0.00	Late syphilis of kidney	197757004	304057015		32
304060010	13	K1000	K100000	Chronic pyelonephritis without medullary necrosis	197760006	304060010		32
304061014	71	K1001	K100100	Chronic pyelonephritis with medullary necrosis	197761005	304061014		32
304063012	145	K1003	K100300	Chronic pyonephrosis	197763008	304063012		32
304067013	845	K100z	K100z00	Chronic pyelonephritis NOS	63302006	105227013		32
304068015	60	K1010	K101000	Acute pyelonephritis without medullary necrosis	197768004	304068015		32
304069011	20	K1011	K101100	Acute pyelonephritis with medullary necrosis	197769007	304069011		32
304070012	692	K1013	K101300	Acute pyonephrosis	197770008	304070012		32
304071011	7799	K101z	K101z00	Acute pyelonephritis NOS	36689008	61206018		32
304083013	278	K10y	K10y.00	Pyelonephritis and pyonephrosis unspecified	129128006	207841011		32
304084019	175124	K10y0	K10y000	Pyelonephritis	45816000	76408015		32
304086017	753	K10y2	K10y200	Pyonephrosis	48631008	81033017		32
304087014	45	K10y3	K10y300	Pyelonephritis in diseases EC	197782004	304087014		32
304090015	4881	K10yz	K10yz00	Unspecified pyelonephritis NOS	45816000	76408015		32
304091016	11083	K10z	K10z.00	Kidney infection	129128006	207842016		32
304197019	16	K1545	K154500	Cystitis in gonorrhoea	197848003	304197019		32
304294019	42	K1800	K180000	Urethral stricture due to infection	80375002	133367013		32
304295018	19	K1801	K180100	Urethral stricture due to infection EC	80375002	133367013		32
304296017	29	K180z	K180z00	Infective urethral stricture NOS	80375002	133367013		32
304319014	212662	K1903	K190300	Recurrent urinary tract infection	197927001	304319014		32
304321016	6271	K1904	K190400	Chronic urinary tract infection	197928006	304321016		32
304323018	982610	K190z	K190z00	Urinary tract infection, site not specified NOS	68566005	113884018		32
305603019	5	L09y4	L09y400	Urinary tract infection following abortive pregnancy	609491002	2966807017		32
305971016	135	L1660	L166000	Genitourinary tract infection in pregnancy unspecified	267204006	2470152015		32
305972011	35	L1661	L166100	Genitourinary tract infection in pregnancy - delivered	199106001	305972011		32
305974012	166	L1663	L166300	Genitourinary tract infection in pregnancy - not delivered	199108000	305974012		32
305976014	366	L1665	L166500	Infections of kidney in pregnancy	199110003	305976014		32
305977017	793	L1666	L166600	Urinary tract infection following delivery	199111004	305977017		32
305978010	94	L1667	L166700	Infections of the genital tract in pregnancy	199112006	305978010		32
306087011	263	L177	L177.00	Infections of bladder in pregnancy	199205008	306087011		32
306088018	7	L178	L178.00	Infections of urethra in pregnancy	199206009	306088018		32
308102012	24978	Lyu23	Lyu2300	Urinary tract infection in pregnancy	307534009	450822019		32
308190014	18	Lyu61	Lyu6100	[X]Other genitourinary tract infections following delivery	199106001	305972011		32
354323012	218	K1014	K101400	Emphysematous pyelonephritis	236373001	354323012		32
354324018	45	K105	K105.00	Chronic infective interstitial nephritis	236374007	354324018		32
354325017	64	K1015	K101500	Emphysematous pyelitis	236375008	354325017		32
354330018	306	K1005	K100500	Chronic obstructive pyelonephritis	236379002	354330018		32
398348012	12838	L166	L166.00	Genitourinary tract infections in pregnancy	267204006	398348012		32
398349016	2960	L166z	L166z00	Genitourinary tract infection in pregnancy	267204006	2470152015		32
450823012	32842	L166z-1	L166z11	UTI - urinary tract infection in pregnancy	307534009	450823012		32
459357017	14987910	1J4	1J4..00	Suspected UTI (urinary tract infection)	314940005	3038119015		27
1209801015	79200	K1906	K190600	Sepsis due to urinary tract infection	721104000	3323525018		32
1216174017	23	A9811-1	A981111	Bladder gonorrhoea - acute	24868007	1216174017		32
1230922019	19	K1540	K154000	Cystitis in actinomycosis	5093001	1230922019		32
1231969015	2	A954-1	A954.11	Renal syphilis	59530001	1231969015		32
1232869016	28	K08y7	K08y700	Acute infective interstitial nephritis	66993009	1232869016		32
1234469013	89	K180	K180.00	Infective urethral stricture	80375002	1234469013		32
1490641019	6176	L1668	L166800	Urinary tract infection complicating pregnancy	307534009	1490641019		32
2535679015	129	A168	A168.00	Tuberculosis of urinary tract	111830007	2535679015		32
3515824016	3	^ESCT1170449		Pyelonephritis in pregnancy	16271000119108	3515824016		31
74781000006117	6447862	K190	K190.00	Urinary tract infection, site not specified	68566005	113884018		32
177021000006119	1881	K10-1	K10..11	Renal infection	129128006	207841011		32
183141000006112	274786	K190-1	K190.11	Recurrent urinary tract infection	197927001	304319014		32
183161000006111	271883	1AG	1AG..00	Recurrent urinary tract infections	197927001	304319014		32
183171000006116	1262010	K1903-1	K190311	Recurrent urinary tract infection	197927001	304319014		32
216611000006114	5274	K1902	K190200	Postoperative urinary tract infection	197926005	304318018		32
417401000006111	16	Lyu24	Lyu2400	[X]Other+unspcf genitourinary tract infection in pregnancy	267204006	2470152015		32
585761000006118	553	K1004	K100400	Nonobstructive reflux-associated chronic pyelonephritis	197764002	304064018		32
606691000006115	54	K1548	K154800	Cystitis in tuberculosis	32268008	1227927016		32
779911000006110	26902	K10	K10..00	Infectious disorder of kidney	129128006	207843014		32
801221000006116	8	L1662	L166200	Genitourinary tract infection in pregnancy - deliv +p/n comp	199107005	305973018		32
801271000006115	2	L1664	L166400	Genitourinary tract infection in pregnancy with postnatal complication	199109008	305975013		32
879451000006115	2472	A994-99	A994.99	Non-specific urethritis	84619001	879451000006115		32
