ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
2835341000033112	42037411000001100	Memantine 10mg tablets	Memantine 10mg tablets	Tablet/ Oral Tablet	Oral	Memantine hydrochloride	10.000mg	04110000	1923134
2835441000033118	4652211000001101	Memantine 10mg/ml oral solution sugar free	Memantine 10mg/ml oral solution sugar free	Oral solution	Oral	Memantine hydrochloride	10.000mg/1.000ml	04110000	177313
2835541000033117	3013111000001101	Ebixa 10mg tablets (Lundbeck Ltd)	Ebixa 10mg tablets	Tablet/ Oral Tablet	Oral	Memantine hydrochloride	10.000mg		8176
2835641000033116	4628711000001107	Ebixa 5mg/0.5ml pump actuation oral solution (Lundbeck Ltd)	Ebixa 5mg/0.5ml pump actuation oral solution	Oral solution	Oral	Memantine hydrochloride	10.000mg/1.000ml	2638
4607841000033119	13939111000001104	Memantine 20mg tablets	Memantine 20mg tablets	Tablet/ Oral Tablet	Oral	Memantine hydrochloride	20.000mg	04110000	2699818
4607941000033110	13914311000001106	Ebixa 20mg tablets (Lundbeck Ltd)	Ebixa 20mg tablets	Tablet/ Oral Tablet	Oral	Memantine hydrochloride	20.000mg		5782
4608041000033113	14065311000001101	Ebixa tablets treatment initiation pack (Lundbeck Ltd)	Ebixa tablets treatment initiation pack	Not applicable					2988
8535641000033114	22663211000001105	Nemdatine 10mg tablets (Actavis UK Ltd)	Nemdatine 10mg tablets	Tablet/ Oral Tablet	Oral	Memantine hydrochloride	10.000mg		158
8535741000033117	22663511000001108	Nemdatine 20mg tablets (Actavis UK Ltd)	Nemdatine 20mg tablets	Tablet/ Oral Tablet	Oral	Memantine hydrochloride	20.000mg		118
11492741000033118	32499611000001108	Memantine 10mg orodispersible tablets sugar free	Memantine 10mg orodispersible tablets sugar free	Orodispersible tablet	Oral	Memantine hydrochloride	10.000mg	04110000	23175
11492841000033111	32499711000001104	Memantine 20mg orodispersible tablets sugar free	Memantine 20mg orodispersible tablets sugar free	Orodispersible tablet	Oral	Memantine hydrochloride	20.000mg	04110000	37236
11492941000033115	32486211000001101	Valios 10mg orodispersible tablets sugar free (Dr Reddy's Laboratories (UK) Ltd)	Valios 10mg orodispersible tablets sugar free	Orodispersible tablet	Oral	Memantine hydrochloride	10.000mg		40
11493041000033113	32486511000001103	Valios 20mg orodispersible tablets sugar free (Dr Reddy's Laboratories (UK) Ltd)	Valios 20mg orodispersible tablets sugar free	Orodispersible tablet	Oral	Memantine hydrochloride	20.000mg		368
11720941000033116	22428211000001105	Marixino 20mg tablets (Krka UK Ltd)	Marixino 20mg tablets	Tablet/ Oral Tablet	Oral	Memantine hydrochloride	20.000mg		6
11721041000033114	22428011000001100	Marixino 10mg tablets (Krka UK Ltd)	Marixino 10mg tablets	Tablet/ Oral Tablet	Oral	Memantine hydrochloride	10.000mg		2
12331641000033115	10694911000001108	Memantine 10mg soluble tablets sugar free	Memantine 10mg soluble tablets sugar free	Soluble tablet/	Oral	Memantine hydrochloride	10.000mg	04110000	2723
12331741000033112	10695111000001109	Memantine 20mg soluble tablets sugar free	Memantine 20mg soluble tablets sugar free	Soluble tablet/	Oral	Memantine hydrochloride	20.000mg	04110000	3651
12331841000033119	34532311000001101	Alzhok 10mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd)	Alzhok 10mg soluble tablets	Soluble tablet/	Oral	Memantine hydrochloride	10.000mg		17
12331941000033110	34532611000001106	Alzhok 20mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd)	Alzhok 20mg soluble tablets	Soluble tablet/	Oral	Memantine hydrochloride	20.000mg		49
12532241000033110	14159211000001107	Memantine 5mg/10mg/15mg/20mg tablets treatment initiation pack	Memantine 5mg/10mg/15mg/20mg tablets treatment initiation pack	Not applicable	Route of administration not applicable			04110000	11549
13316541000033110	35204911000001100	Memantine 5mg/10mg/15mg/20mg orodispersible tablets initiation pack sugar free	Memantine 5mg/10mg/15mg/20mg orodispersible tablets initiation pack sugar free	Not applicable	Route of administration not applicable			04110000	972
14274841000033116	35205111000001104	Memantine 5mg orodispersible tablets sugar free	Memantine 5mg orodispersible tablets sugar free	Orodispersible tablet	Oral	Memantine hydrochloride	5.000mg	04110000	141
8349641000033110		Maruxa  Tablets  20 mg							7
