ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
1609241000033116	3757911000001101	Exelon 1.5mg capsules (Novartis Pharmaceuticals UK Ltd)	Exelon 1.5mg capsules	Capsule/ Oral capsule	Oral	Rivastigmine hydrogen tartrate	1.500mg		1938
1609341000033114	3758511000001107	Exelon 3mg capsules (Novartis Pharmaceuticals UK Ltd)	Exelon 3mg capsules	Capsule/ Oral capsule	Oral	Rivastigmine hydrogen tartrate	3.000mg		2574
1609441000033115	3889111000001100	Exelon 4.5mg capsules (Novartis Pharmaceuticals UK Ltd)	Exelon 4.5mg capsules	Capsule/ Oral capsule	Oral	Rivastigmine hydrogen tartrate	4.500mg		1519
1609541000033119	3889911000001102	Exelon 6mg capsules (Novartis Pharmaceuticals UK Ltd)	Exelon 6mg capsules	Capsule/ Oral capsule	Oral	Rivastigmine hydrogen tartrate	6.000mg		1226
1673341000033115	42041311000001100	Rivastigmine 1.5mg capsules	Rivastigmine 1.5mg capsules	Capsule/ Oral capsule	Oral	Rivastigmine hydrogen tartrate	1.500mg	04110000	284539
1673441000033114	42041511000001106	Rivastigmine 3mg capsules	Rivastigmine 3mg capsules	Capsule/ Oral capsule	Oral	Rivastigmine hydrogen tartrate	3.000mg	04110000	376957
1673541000033110	42041611000001105	Rivastigmine 4.5mg capsules	Rivastigmine 4.5mg capsules	Capsule/ Oral capsule	Oral	Rivastigmine hydrogen tartrate	4.500mg	04110000	146804
1673641000033111	42041711000001101	Rivastigmine 6mg capsules	Rivastigmine 6mg capsules	Capsule/ Oral capsule	Oral	Rivastigmine hydrogen tartrate	6.000mg	04110000	127145
2656441000033116	4340311000001102	Rivastigmine 2mg/ml oral solution sugar free	Rivastigmine 2mg/ml oral solution sugar free	Oral solution	Oral	Rivastigmine hydrogen tartrate	2.000mg/1.000ml	04110000	14628
2656541000033115	4333811000001103	Exelon 2mg/ml oral solution (Novartis Pharmaceuticals UK Ltd)	Exelon 2mg/ml oral solution	Oral solution	Oral	Rivastigmine hydrogen tartrate	2.000mg/1.000ml		355
4321241000033114	12315111000001105	Rivastigmine 4.6mg/24hours transdermal patches	Rivastigmine 4.6mg/24hours transdermal patches	Transdermal patch	Transdermal	Rivastigmine	4.600mg/24.000hour	04110000	185404
