ICD10	Term_description
G30	Alzheimer disease
G30.0	Alzheimer disease with early onset
G30.1	Alzheimer disease with late onset
G30.9	"Alzheimer disease, unspecified"
F00	Dementia in Alzheimer disease
F00.0	Dementia in Alzheimer disease with early onset
F00.1	Dementia in Alzheimer disease with late onset
F00.2	"Dementia in Alzheimer disease, atypical or mixed type"
F00.9	"Dementia in Alzheimer disease, unspecified"
G30.8	Other Alzheimer disease
F01	Vascular dementia
F01.0	Vascular dementia of acute onset
F01.1	Multi-infarct dementia
F01.2	Subcortical vascular dementia
F01.3	Mixed cortical and subcortical vascular dementia
F01.8	Other vascular dementia
F01.9	"Vascular dementia, unspecified"
G31.0	Circumscribed brain atrophy
F05.1	Delirium superimposed on dementia
F02.1	Dementia in Creutzfeldt-Jakob disease
F02.4	Dementia in human immunodeficiency virus [HIV] disease
F02.2	Dementia in Huntington disease
F02.3	Dementia in Parkinson disease
F02.0	Dementia in Pick disease
F01.1	Predominantly cortical dementia
G31.8	Other specified degenerative diseases of nervous system
F02.8	Dementia in other specified diseases classified elsewhere
F02	Dementia in other diseases classified elsewhere
F03	Unspecified dementia
