Code Product Description Molecule Dose, format and route
53922 Donepezil 10mg orodispersible tablets (Consilient Health Ltd) Donepezil hydrochloride 10mg, Orodispersible tablet, Oral
56600 Donepezil 5mg tablets (Zentiva) Donepezil hydrochloride 5mg, Tablet, Oral 
48443 Donepezil 10mg orodispersible tablets Donepezil hydrochloride 10mg, Orodispersible tablet, Oral
2931 Donepezil 10mg tablets Donepezil hydrochloride 10mg, Tablet, Oral
63217 Donepezil 5mg tablets (A A H Pharmaceuticals Ltd) Donepezil hydrochloride 5mg, Tablet, Oral
35088 Donepezil 10mg orodispersible tablets sugar free Donepezil Hydrochloride 10mg, Orodispersible Tablet, Oral
60107 Donepezil 5mg tablets (Alliance Healthcare (Distribution) Ltd) Donepezil Hydrochloride 5mg, tablet, Oral
59871 Donepezil 10mg/5ml oral suspension Donepezil hydrochloride 2mg/1ml, Oral suspension, Oral
2930 Donepezil 5mg tablets Donepezil hydrochloride 5mg, Tablet, Oral
35179 Donepezil 5mg orodispersible tablets sugar free Donepezil hydrochloride 5mg, Orodispersible tablet, Oral
61676 Donepezil 1mg/ml oral solution sugar free Donepezil hydrochloride 1mg/1ml, Oral solution, Oral
58947 Donepezil 10mg tablets (Accord Healthcare Ltd) Donepezil hydrochloride 10mg, Tablet, Oral
58709 Donepezil 10mg tablets (A A H Pharmaceuticals Ltd) Donepezil hydrochloride 10mg, Tablet, Oral
48442 Donepezil 5mg orodispersible tablets Donepezil hydrochloride 5mg, Orodispersible tablet, Oral
